Panamax Bulk Period Fixtures,,,,,,,,,,,,,,,,,
Fixtures are provided as reported and are not comprehensive.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Created 17 July 2014 11:19,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Date,Name,Built,Dwt,Quantity,Type,Charterer,Delivery,Load,Discharge,Redel,Laycan From,Laycan To,Rate,Unit,Period,Ballast Bonus,Owner
12/10/2011,Oinoussian Lion,1996,71685,0,PERIOD,SWISS MARINE,PHU MAY,,WORLD WIDE,WORLD WIDE,20/10/2011,25/10/2011,14750,$/Day,4-6 Months,,Efploia Shpg. Co.
12/10/2011,Gao Zhou Hai,1994,69952,0,PERIOD,DEIULEMAR,BREMEN,,WORLD WIDE,WORLD WIDE,14/10/2011,19/10/2011,19500,$/Day,4-6 Months,,COSCO Bulk Carrier
11/10/2011,Nadine Venture,2011,93000,0,PERIOD,NORDEN,XINGANG,,WORLD WIDE,WORLD WIDE,07/10/2011,12/10/2011,12500,$/Day,4-6 Months,,Wah Kwong Shpg.
10/10/2011,Rodon Amarandon,2001,74090,0,PERIOD,CLIPPER,QINGDAO,,WORLD WIDE,WORLD WIDE,26/10/2011,02/11/2011,13750,$/Day,11-13 Months,,Goulandris Bros.
10/10/2011,Marine Prosperity,2001,73326,0,PERIOD,VITOL,LANSHAN,,WORLD WIDE,WORLD WIDE,22/10/2011,27/10/2011,13750,$/Day,4-6 Months,,Silver Lake Shpg.
07/10/2011,Beteigeuze,2007,77089,0,PERIOD,GLENCORE,PMO,,WORLD WIDE,WORLD WIDE,15/10/2011,20/10/2011,14500,$/Day,4-6 Months,,Orion Bulkers
06/10/2011,Lowlands Camellia,2006,76807,0,PERIOD,AQUAVITA,ZHANGZHOU,,WORLD WIDE,WORLD WIDE,13/10/2011,18/10/2011,14000,$/Day,4-6 Months,,Daiichi Chuo
06/10/2011,Samjohn Amity,1998,74761,0,PERIOD,STX PAN OCEAN,QINGDAO,,WORLD WIDE,WORLD WIDE,10/10/2011,12/10/2011,13500,$/Day,4-6 Months,,Golden Flame Shpg.
06/10/2011,Annoula,1997,70281,0,PERIOD,STX PAN OCEAN,QINGDAO,,WORLD WIDE,WORLD WIDE,13/10/2011,18/10/2011,13250,$/Day,5-7 Months,,Alpha Tankers & Frt.
05/10/2011,YM Rightness,2004,77684,0,PERIOD,CHINESE CHRTS,HONG KONG,,WORLD WIDE,WORLD WIDE,08/10/2011,13/10/2011,13250,$/Day,4-6 Months,,Kuang Ming Shpg.
