Panamax Bulk Spot Fixtures,,,,,,,,,,,,,,,,
Fixtures are provided as reported and are not comprehensive.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Created 17 July 2014 13:56,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Date,Name,Built,Dwt,Quantity,Type,Charterer,Delivery,Load,Discharge,Redel,Laycan From,Laycan To,Rate,Unit,Ballast Bonus,Owner
21/12/2011,Yue Dian 83,2010,87329,0,TCT,COBELFRET,TAIWAN,NEWCASTLE,JAPAN,JAPAN,30/12/2011,30/12/2011,11200,$/Day,,Guangdong Yuedian
21/12/2011,Hanjin Hirose,2011,83000,0,TCT,CARGILL,PARANAGUA,PARANAGUA,Skaw-Cape Passero,Skaw-Cape Passero,01/01/2012,07/01/2012,14000,$/Day,400000,Hanjin Shpg Co.
21/12/2011,Dimitris Apesakis,2008,82800,0,TCT,KLAVENESS,RICHARDS BAY,RICHARDS BAY,EC INDIA,EC INDIA,29/12/2011,30/12/2011,14800,$/Day,550000,Mykonos Shpg. Co.
21/12/2011,King Hadley,2011,79642,0,TCT,BUNGE,ROTTERDAM,USEC,Skaw-Gibraltar,Skaw-Gibraltar,22/12/2011,23/12/2011,14250,$/Day,,Konig & Cie.
21/12/2011,Fortune Sunny,2008,82338,0,TCT,CNR,Jaigarh,GOA,CHINA,CHINA,03/01/2012,08/01/2012,18750,$/Day,,Cido Shipping
21/12/2011,Catalina,2005,74432,0,TCT,DAEBO,HONG KONG,INDONESIA,SINGAPORE-JAPAN,SINGAPORE-JAPAN,23/12/2011,28/12/2011,7600,$/Day,,Dryships Inc.
21/12/2011,Edelweiss,2004,73624,0,TCT,COSBULK,ECSA,ECSA,Skaw-Gibraltar,Skaw-Gibraltar,30/12/2011,05/01/2012,14650,$/Day,450000,Transmed Shipping
20/12/2011,Aris T,2007,92524,0,TCT,PCL,SW PASSAGE,SW PASSAGE,Skaw-Gibraltar,Skaw-Gibraltar,01/01/2012,10/01/2012,15000,$/Day,500000,Marmaras Nav. Ltd.
20/12/2011,Te Ho,2004,77834,0,TCT,CNR,XINGANG,NOPAC,SINGAPORE-JAPAN,SINGAPORE-JAPAN,20/12/2011,25/12/2011,10250,$/Day,,Ta Ho Maritime
20/12/2011,RBD Capri,2008,76619,0,TCT,OLDENDORFF,GANGAVARAM,South Australia & PG,PMO,PMO,14/12/2011,14/12/2011,14500,$/Day,,Shoei Kisen K.K.
20/12/2011,Nord Galaxy,2006,76629,59000,BAUXITE,ELCANO,,KAMSAR,SAN CIPRIAN,,03/01/2012,09/01/2012,14.1,$/Tonne,,Shoei Kisen K.K.
20/12/2011,TBN,,0,80000,COAL,TAIPOWER,,SAMARINDA,TAIWAN,,19/01/2012,28/01/2012,6.95,$/Tonne,,
20/12/2011,TBN,,0,80000,COAL,TAIPOWER,,PORT KEMBLA,TAIWAN,,28/01/2012,10/02/2012,15.63,$/Tonne,,
20/12/2011,TBN,,0,70000,COAL,TAIPOWER,,SAMARINDA,TAIWAN,,10/01/2012,19/01/2012,6.84,$/Tonne,,
19/12/2011,King Coal,2010,76361,0,TCT,OLDENDORFF,SW PASSAGE,USGF,SINGAPORE-JAPAN,SINGAPORE-JAPAN,05/01/2012,10/01/2012,27000,$/Day,,Mitsubishi Ore Tpt.
19/12/2011,Xiao Xiao,2011,76097,0,TCT,CNR,MUNDRA,INDIA,CHINA,CHINA,19/12/2011,23/12/2011,17000,$/Day,,East Sunrise Group
19/12/2011,Maritime Hareshio,2006,75740,0,TCT,JALDHI,NEW MANGALORE,NEW MANGALORE,CHINA,CHINA,20/12/2011,26/12/2011,19000,$/Day,,Dae Ah Shipping
19/12/2011,Tian Du Feng,2001,74201,0,TCT,BEIBU GULF,CHIWAN,INDONESIA,MALAYSIA,SINGAPORE-JAPAN,14/12/2011,14/12/2011,13250,$/Day,,China Shpg Guangzhou
19/12/2011,Clymene,2006,73600,0,TCT,CNR,KAOHSIUNG,INDONESIA,FAR EAST,FAR EAST,20/12/2011,25/12/2011,11000,$/Day,,Hadley Shpg. Co.
19/12/2011,TBN,,0,75000,COAL,SAIL,,NEWPORT NEWS,VISAKHAPATNAM,,05/01/2012,20/01/2012,40,$/Tonne,,
