Panamax Bulker Register,,,,,,,,,,,
"Bulkers 65,000 - 99,999 dwt",,,,,,,,,,,
,,,,,,,,,,,
Created 17 July 2014 15:18,,,,,,,,,,,
,,,,,,,,,,,
Type,Hull Type,Name,Size,Unit,Dwt,GT,Flag,Built,Mn,Yard,Current Owner
Bulk,,Vittoria,"78,259.00",DWT,78259,41963,Panama,2013,12,Toyohashi SB,K-Line
Bulk,,Coal Pearl,"81,874.00",DWT,81874,44276,Hong Kong,2013,11,Wuchang S.B.,Unknown Chinese
Bulk,,Leda,"82,165.00",DWT,82165,43500,Panama,2013,11,Tsuneishi Zosen,K-Line
Bulk,,Bahri Arasco,"81,998.00",DWT,81998,43894,Saudi Arabia,2013,11,Oshima S.B. Co.,Bahri
Bulk,,GL Pirapo,"98,704.00",DWT,98704,51905,Panama,2013,11,Tsuneishi Zhoushan,Glocal Japan Inc.
Bulk,,Nord Sun,"82,146.00",DWT,82146,43022,Singapore,2013,11,Tsuneishi Cebu,Norden D/S A/S
Chip,,Medan Express,"70,500.00",DWT,70500,54550,Hong Kong,2013,11,Jiangsu New YZJ,Nova Shpg & Logist.
Bulk,,Q Sue,"83,789.00",DWT,83789,47003,Marshall Islands,2013,11,Sasebo H.I.,Quintana Shipping
Bulk,,Reihou,"97,114.00",DWT,97114,60876,Liberia,2013,11,Japan Marine United,Daiichi Chuo
Bulk,,Shen Hua 803,"75,403.00",DWT,75403,40943,Peoples' Republic of China,2013,11,Jiangnan SY Group,Shenhua Group
Bulk,,Lake Dawn,"81,902.00",DWT,81902,43008,Panama,2013,11,Tsuneishi Zhoushan,Nippon Yusen Kaisha
Bulk,,Ibis Wind,"82,937.00",DWT,82937,43656,Panama,2013,11,Sanoyas S.B. Corp,Mitsubishi Corp.
Bulk,,Indian Harmony,"75,300.00",DWT,75300,42576,Liberia,2013,11,STX Shipbuild.,Eastern Pacific Shpg
Bulk,,Rui Ning 20,"75,564.00",DWT,75564,40913,Peoples' Republic of China,2013,11,Guangzhou Huangpu,China Huaneng
Bulk,,Vishva Uday,"82,000.00",DWT,82000,44861,India,2013,11,Jiangsu Eastern,Shpg Corp of India
Bulk,,Harvest Sky,"95,717.00",DWT,95717,50626,Panama,2013,11,Imabari S.B.,Mitsubishi Corp.
Bulk,,Istria,"81,761.00",DWT,81761,43951,Singapore,2013,11,Wuhu Shipyard,F. H. Bertling
Bulk,,Countess I,"79,234.00",DWT,79234,43717,Marshall Islands,2013,11,Jiangsu Eastern,Verano Mngmnt
Bulk,,Lydia Cafiero,"81,187.00",DWT,81187,43278,Singapore,2013,11,Japan Marine United,Augustea Imprese
Bulk,,Huayang Spirit,"75,784.00",DWT,75784,41830,Hong Kong,2013,10,Jiangsu Rongsheng,Huayang Maritime
Bulk,,Sea Pluto,"81,007.00",DWT,81007,44025,Marshall Islands,2013,11,New Century S/Y,Fredriksen Group
Bulk,,Arpeggio,"80,500.00",DWT,80500,43000,Panama,2013,11,Japan Marine United,Mitsubishi Corp.
Bulk,,Clipper Excalibur,"66,721.00",DWT,66721,38203,Panama,2013,11,Mitsui SB,Nissen Kaiun K.K.
Bulk,,Aeneas,"75,200.00",DWT,75200,41104,Panama,2013,10,Jinglu Shipyard,Laskaridis Shpg
Bulk,,Perseas,"75,033.00",DWT,75033,41104,Panama,2013,10,Jinglu Shipyard,Laskaridis Shpg
Bulk,,Alkimos,"95,000.00",DWT,95000,50700,Cyprus,2013,11,Jiangsu Eastern,Blue Planet Shpg.
Bulk,,Sea Venus,"80,888.00",DWT,80888,43841,Marshall Islands,2013,11,New Century S/Y,Fredriksen Group
Bulk,,Xin Hong,"82,226.00",DWT,82226,44028,Hong Kong,2013,10,Dalian Shipbuilding,South Ocean Shpg.
Bulk,,Shen Hua 801,"75,331.00",DWT,75331,40943,Peoples' Republic of China,2013,10,Jiangnan SY Group,Shenhua Group
Bulk,,Shen Hua 802,"75,380.00",DWT,75380,40943,Peoples' Republic of China,2013,10,Jiangnan SY Group,Shenhua Group
Bulk,,Guo Dian 19,"76,442.00",DWT,76442,41779,Peoples' Republic of China,2013,10,Tianjin Xingang,Guodian Corp.
Bulk,,Sari Indah,"87,193.00",DWT,87193,48065,Singapore,2013,10,Hudong Zhonghua,Pacsari Pte Ltd.
Bulk,,W-Pacific,"82,000.00",DWT,82000,44119,Liberia,2013,10,New Hantong Shipyard,W Marine Inc.
Bulk,,United World,"82,026.00",DWT,82026,43005,Panama,2013,10,Tsuneishi Zosen,United Ocean
Bulk,,Lan Hai Kua Yue,"79,441.00",DWT,79441,43365,Peoples' Republic of China,2013,10,Yichun Wujiazui S.B.,Guangdong Lanyue
Bulk,,Yuyo,"92,307.00",DWT,92307,50927,Liberia,2013,10,Namura Shipbuilding,Toyo Sangyo Co.
Bulk,,Golden Diamond,"74,300.00",DWT,74300,41586,Hong Kong,2013,10,Pipavav Shipyd.,Fredriksen Group
Bulk,,Shao Shan 7,"75,409.00",DWT,75409,40913,Hong Kong,2013,10,Guangzhou Huangpu,COSCO Group
Bulk,,Ever Grand,"81,688.00",DWT,81688,44407,Panama,2013,10,Beihai Shipyard,First S.S.
Bulk,,Robin Wind,"78,228.00",DWT,78228,41963,Panama,2013,9,Toyohashi SB,Meiji Shipping Co.
Bulk,,GL La Paz,"98,704.00",DWT,98704,51905,Panama,2013,10,Tsuneishi Zhoushan,Glocal Japan Inc.
Bulk,,Eva,"82,620.00",DWT,82620,44827,Liberia,2013,10,STX Shipbuild.,Efnav Co. Ltd.
Bulk,,Infinity 9,"78,000.00",DWT,78000,41853,Malta,2013,10,Jiangnan SY Group,Alpha Sigma Shpg.
Bulk,,Omiros L,"81,450.00",DWT,81450,44180,Liberia,2013,10,Hyundai Samho,Kyla Shipping Co.
Bulk,,Corona Royal,"88,887.00",DWT,88887,49762,Panama,2013,10,Imabari S.B.,K-Line
Bulk,,CSL Tacoma,"71,405.00",DWT,71405,43691,Bahamas,2013,10,Chengxi Shipyd.,CSL Group Inc.
Bulk,,Zhong Xin Pearl,"75,321.00",DWT,75321,40946,Hong Kong,2013,9,Guangzhou Huangpu,Zhong Xin Marine Co
Bulk,,Honest Sky,"95,719.00",DWT,95719,50625,Panama,2013,10,Imabari S.B.,Mitsubishi Corp.
Bulk,,Tatry,"82,138.00",DWT,82138,43025,Liberia,2013,10,Tsuneishi Zosen,Polish Steamship Co.
Bulk,,Nicole,"81,120.00",DWT,81120,43291,Singapore,2013,10,Japan Marine United,Augustea Imprese
Bulk,,Peace Bright,"76,000.00",DWT,76000,41541,Panama,2013,9,Zhejiang Zhenghe SB,Zhenghe Shpg. Group
